Sequence  | Address         | Length  | TermCode            | Uri                                                                                                           | OpSig                                                                                                         | Data
99        | 7ff7c8612cf0h   | 35      | CTC_RET_ZED_SBB     | hex://logix/LogicOps?f4d#f4d_(1u,1u,1u)                                                                       | bit f4d(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 41 23 c0 f7 d0 83 e0 01 41 0b c8 f7 d1 83 e1 01 23 c2 f7 d2 23 d1 0b c2 83 e0 01 c3
100       | 7ff7c8612d30h   | 28      | CTC_RET_SBB         | hex://logix/LogicOps?f4e#f4e_(1u,1u,1u)                                                                       | bit f4e(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 41 23 c0 41 8b c8 f7 d1 23 d1 0b c2 83 e0 01 c3
101       | 7ff7c8612d60h   | 25      | CTC_RET_Zx3         | hex://logix/LogicOps?f4f#f4f_(1u,1u,1u)                                                                       | bit f4f(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c1 f7 d0 83 e0 01 41 8b c8 f7 d1 83 e1 01 23 d1 0b c2 c3
102       | 7ff7c8612d90h   | 20      | CTC_RET_SBB         | hex://logix/LogicOps?f50#f50_(1u,1u,1u)                                                                       | bit f50(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 89 54 24 10 41 8b c0 f7 d0 83 e0 01 23 c1 c3
103       | 7ff7c8612dc0h   | 23      | CTC_RET_ZED_SBB     | hex://logix/LogicOps?f51#f51_(1u,1u,1u)                                                                       | bit f51(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 f7 d2 83 e2 01 0b d1 23 c2 c3
104       | 7ff7c8612df0h   | 21      | CTC_RET_Zx3         | hex://logix/LogicOps?f52#f52_(1u,1u,1u)                                                                       | bit f52(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 23 d0 8b c2 f7 d0 83 e0 01 41 33 c8 23 c1 c3
105       | 7ff7c8612e20h   | 30      | CTC_RET_Zx3         | hex://logix/LogicOps?f53#f53_(1u,1u,1u)                                                                       | bit f53(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 f7 d2 83 e2 01 23 c1 f7 d1 23 d1 0b c2 83 e0 01 c3
106       | 7ff7c8612e50h   | 18      | CTC_RET_Zx3         | hex://logix/LogicOps?f54#f54_(1u,1u,1u)                                                                       | bit f54(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 0b d1 23 c2 c3
107       | 7ff7c8612e80h   | 22      | CTC_RET_Zx3         | hex://logix/LogicOps?f55#f55_(1u,1u,1u)                                                                       | bit f55(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 89 4c 24 08 89 54 24 10 41 8b c0 f7 d0 83 e0 01 c3
108       | 7ff7c8612eb0h   | 13      | CTC_RET_Zx3         | hex://logix/LogicOps?f56#f56_(1u,1u,1u)                                                                       | bit f56(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 0b d1 41 8b c0 33 c2 c3
109       | 7ff7c8612ed0h   | 18      | CTC_RET_Zx3         | hex://logix/LogicOps?f57#f57_(1u,1u,1u)                                                                       | bit f57(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 0b d1 41 23 d0 8b c2 f7 d0 83 e0 01 c3
110       | 7ff7c8612f00h   | 15      | CTC_RET_ZED_SBB     | hex://logix/LogicOps?f58#f58_(1u,1u,1u)                                                                       | bit f58(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 0b d1 41 33 c8 8b c2 23 c1 c3
111       | 7ff7c8612f20h   | 18      | CTC_RET_Zx3         | hex://logix/LogicOps?f59#f59_(1u,1u,1u)                                                                       | bit f59(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 8b c2 f7 d0 83 e0 01 0b c1 41 33 c0 c3
112       | 7ff7c8612f50h   | 15      | CTC_RET_ZED_SBB     | hex://logix/LogicOps?f5a#f5a_(1u,1u,1u)                                                                       | bit f5a(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 89 54 24 10 41 8b c0 33 c1 c3
113       | 7ff7c8612f70h   | 19      | CTC_RET_ZED_SBB     | hex://logix/LogicOps?f5b#f5b_(1u,1u,1u)                                                                       | bit f5b(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 44 33 c1 0b d1 83 f2 01 41 8b c0 0b c2 c3
114       | 7ff7c8612fa0h   | 25      | CTC_RET_Zx3         | hex://logix/LogicOps?f5c#f5c_(1u,1u,1u)                                                                       | bit f5c(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 23 c1 f7 d1 23 d1 0b c2 83 e0 01 c3
115       | 7ff7c8612fd0h   | 23      | CTC_RET_ZED_SBB     | hex://logix/LogicOps?f5d#f5d_(1u,1u,1u)                                                                       | bit f5d(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 f7 d1 83 e1 01 23 d1 0b c2 c3
116       | 7ff7c8613000h   | 21      | CTC_RET_Zx3         | hex://logix/LogicOps?f5e#f5e_(1u,1u,1u)                                                                       | bit f5e(bit a, bit b, bit c)                                                                                  | 0f 1f 44 00 00 41 8b c0 f7 d0 83 e0 01 23 c2 41 33 c8 0b c1 c3
